kernel,cell,method,true_ratio,varied,replicates,seed,coverage,mc_se,excludes_one_rate,undefined_or_unbounded,median_width,interval_status
snap-r6-battery-width,benchmarks_06,cluster_t_recipe,1.1423659658795862,"{""benchmarks"": 6, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260956,0.9415,0.003710719269899031,,0.0,0.22019673266386952,all_defined
snap-r6-battery-width,benchmarks_06,cluster_t_size,1.1423659658795862,"{""benchmarks"": 6, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260956,0.949,0.003478469491026191,,0.0,0.27925669223498856,all_defined
snap-r6-battery-width,benchmarks_08,wild_recipe,1.194571052721436,"{""benchmarks"": 8, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260956,0.95025,0.003437838619685338,,0.0,0.23283610602780425,all_defined
snap-r6-battery-width,benchmarks_08,wild_size,1.194571052721436,"{""benchmarks"": 8, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260956,0.95575,0.0032516125807051494,,0.00725,0.3425285293065241,undefined_present
snap-r6-battery-width,benchmarks_08,cluster_t_recipe,1.194571052721436,"{""benchmarks"": 8, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260956,0.95025,0.003437838619685338,,0.0,0.23213261726836798,all_defined
snap-r6-battery-width,benchmarks_08,cluster_t_size,1.194571052721436,"{""benchmarks"": 8, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260956,0.95175,0.0033882863478460618,,0.0,0.29034450182085314,all_defined
snap-r6-battery-width,benchmarks_10,wild_recipe,1.2445882853377657,"{""benchmarks"": 10, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260956,0.94125,0.003718145959345866,,0.0,0.241795059544047,all_defined
snap-r6-battery-width,benchmarks_10,wild_size,1.2445882853377657,"{""benchmarks"": 10, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260956,0.9515,0.0033966067626382654,,0.0065,0.35497852529060825,undefined_present
snap-r6-battery-width,benchmarks_10,cluster_t_recipe,1.2445882853377657,"{""benchmarks"": 10, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260956,0.94075,0.003732942455356097,,0.0,0.24128246282533294,all_defined
snap-r6-battery-width,benchmarks_10,cluster_t_size,1.2445882853377657,"{""benchmarks"": 10, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260956,0.944,0.0036353816856005655,,0.0,0.3053561330116896,all_defined
snap-r6-battery-width,benchmarks_12,wild_recipe,1.29267165204471,"{""benchmarks"": 12, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260956,0.94225,0.003688324060464318,,0.0,0.2495481167137542,all_defined
snap-r6-battery-width,benchmarks_12,wild_size,1.29267165204471,"{""benchmarks"": 12, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260956,0.946,0.0035736535926135893,,0.01075,0.37151416800795833,undefined_present
snap-r6-battery-width,benchmarks_12,cluster_t_recipe,1.29267165204471,"{""benchmarks"": 12, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260956,0.94125,0.003718145959345866,,0.0,0.24891500100306918,all_defined
snap-r6-battery-width,benchmarks_12,cluster_t_size,1.29267165204471,"{""benchmarks"": 12, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260956,0.945,0.003604684452209376,,0.0,0.3154748192776645,all_defined
snap-r6-battery-width,benchmarks_20,wild_recipe,1.4693535993762699,"{""benchmarks"": 20, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260956,0.951,0.003413173010557773,,0.0,0.27691068676347896,all_defined
snap-r6-battery-width,benchmarks_20,wild_size,1.4693535993762699,"{""benchmarks"": 20, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260956,0.95575,0.0032516125807051494,,0.00525,0.41214179448908417,undefined_present
snap-r6-battery-width,benchmarks_20,cluster_t_recipe,1.4693535993762699,"{""benchmarks"": 20, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260956,0.9515,0.0033966067626382654,,0.0,0.27671706327649137,all_defined
snap-r6-battery-width,benchmarks_20,cluster_t_size,1.4693535993762699,"{""benchmarks"": 20, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260956,0.94925,0.003470390377896987,,0.0,0.34572992504524647,all_defined
snap-r6-boot-reps,independent,boot_999,1.2445882853377657,"{""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260980,0.94525,0.0035969583504677936,0.97175,0.0,0.2402850416690976,all_defined
snap-r6-boot-reps,independent,boot_2499,1.2445882853377657,"{""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260980,0.94575,0.0035814430576235614,0.97025,0.0,0.2412293312973764,all_defined
snap-r6-boot-reps,independent,boot_4999,1.2445882853377657,"{""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260980,0.94575,0.0035814430576235614,0.9695,0.0,0.24129477301770474,all_defined
snap-r6-boot-reps,independent,boot_19999,1.2445882853377657,"{""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260980,0.94625,0.003565842729986839,0.9705,0.0,0.24187690083473556,all_defined
snap-r6-boot-reps,band_0.044,boot_999,1.2445882853377657,"{""noise_sd"": 0.73, ""rho"": 0.061, ""size_shared"": 0.044}",4000,20260980,0.9405,0.0037403124869454423,0.96575,0.0,0.24025693800623782,all_defined
snap-r6-boot-reps,band_0.044,boot_2499,1.2445882853377657,"{""noise_sd"": 0.73, ""rho"": 0.061, ""size_shared"": 0.044}",4000,20260980,0.943,0.003665753674212168,0.96725,0.0,0.24082568287760953,all_defined
snap-r6-boot-reps,band_0.044,boot_4999,1.2445882853377657,"{""noise_sd"": 0.73, ""rho"": 0.061, ""size_shared"": 0.044}",4000,20260980,0.94275,0.0036732967991982357,0.967,0.0,0.24097995403811123,all_defined
snap-r6-boot-reps,band_0.044,boot_19999,1.2445882853377657,"{""noise_sd"": 0.73, ""rho"": 0.061, ""size_shared"": 0.044}",4000,20260980,0.9425,0.0036808202210920327,0.96675,0.0,0.2414485706429509,all_defined
snap-r6-cluster-count,recipes_05,wild_recipe,1.2445882853377657,"{""noise_sd"": 0.73, ""recipes"": 5, ""rho"": 0.061}",4000,20260960,0.74925,0.006853364821385186,0.161,0.20475,0.7283506184533478,undefined_present
snap-r6-cluster-count,recipes_05,cluster_t_recipe,1.2445882853377657,"{""noise_sd"": 0.73, ""recipes"": 5, ""rho"": 0.061}",4000,20260960,0.91025,0.004519262591950151,0.20225,0.03025,0.6833507769054894,undefined_present
snap-r6-cluster-count,recipes_05,wild_size,1.2445882853377657,"{""noise_sd"": 0.73, ""recipes"": 5, ""rho"": 0.061}",4000,20260960,0.7555,0.00679558220463854,0.16575,0.19825,0.7237847008528436,undefined_present
snap-r6-cluster-count,recipes_05,cluster_t_size,1.2445882853377657,"{""noise_sd"": 0.73, ""recipes"": 5, ""rho"": 0.061}",4000,20260960,0.91525,0.004403618895295096,0.214,0.02675,0.6813228068277685,undefined_present
snap-r6-cluster-count,recipes_10,wild_recipe,1.2445882853377657,"{""noise_sd"": 0.73, ""recipes"": 10, ""rho"": 0.061}",4000,20260960,0.94625,0.003565842729986839,0.5425,0.0,0.4168877521205635,all_defined
snap-r6-cluster-count,recipes_10,cluster_t_recipe,1.2445882853377657,"{""noise_sd"": 0.73, ""recipes"": 10, ""rho"": 0.061}",4000,20260960,0.9455,0.0035892112643309253,0.5555,0.0,0.4116410485893664,all_defined
